Country,OBC thousand tonnes,EF thousand tonnes,OHF thousand tonnes,Other thousand tonnes,Total thousand tonnes,OBC % total production,EF % total production,OHF % total production,Other % total production,% total production,Division,Year
India,46 202,55 253,,,101 455,45.5,54.5,,,100,Asia,2017
Indonesia,2 922,2 274,,,5 195,56.2,43.8,,,100,Asia,2017
Japan,79 343,25 318,,,104 661,75.8,24.2,,,100,Asia,2017
South Korea,47 676,23 354,,,71 030,67.1,32.9,,,100,Asia,2017
Malaysia,650,2 570,,,3 220,20.2,79.8,,,100,Asia,2017
Mongolia (e),,50,,,50,,100,,,100,Asia,2017
Myanmar (e),,35,,,35,,100,,,100,Asia,2017
Pakistan,,4 966,,,4 966,,100,,,100,Asia,2017
Philippines,,1 378,,,1 378,,100,,,100,Asia,2017
Singapore,,596,,,596,,100,,,100,Asia,2017
Sri Lanka (e),,30,,,30,,100,,,100,Asia,2017
"Taiwan, China",13 690,8 748,,,22 438,61,39,,,100,Asia,2017
Thailand,,6 762,,,6 762,,100,,,100,Asia,2017
Viet Nam,4 016,6 310,,1 147,11 473,35,55,,10,100,Asia,2017
,,,,,,,,,,,,
Australia,4 104,1 224,,5 328,,77,23,,,100,Oceania,2017
New Zealand,657,,,657,,100,,,,100,Oceania,2017
,,,,,,,,,,,,
Austria,7 412,723,,,8 135,91.1,8.9,,,100,European Union (28),2017
Belgium,5 340,2 500,,,7 840,68.1,31.9,,,100,European Union (28),2017
Bulgaria,,652,,,652,,100,,,100,European Union (28),2017
Croatia,,0,,,0,,100,,,100,European Union (28),2017
Czech Republic,4 306,244,,,4 550,94.6,5.4,,,100,European Union (28),2017
Germany,30 290,13 007,,,43 297,70,30,,,100,European Union (28),2017
Finland (e),2 700,1 300,,,4 000,67.5,32.5,,,100,European Union (28),2017
France,10 664,4 840,,,15 505,68.8,31.2,,,100,European Union (28),2017
Greece,,1 359,,,1 359,,100,,,100,European Union (28),2017
Hungary,1 602,298,,,1 901,84.3,15.7,,,100,European Union (28),2017
Italy,4 732,19 336,,,24 068,19.7,80.3,,,100,European Union (28),2017
Luxembourg,,2 172,,,2 172,,100,,,100,European Union (28),2017
Netherlands,6 781,,,,6 781,100,,,,100,European Union (28),2017
Poland,5 706,4 626,,,10 332,55.2,44.8,,,100,European Union (28),2017
Portugal (e),,2 056,,20,2 076,,99,,1,100,European Union (28),2017
Romania,2 330,1 030,,,3 360,69.3,30.7,,,100,European Union (28),2017
Slovak Republic,4 619,355,,,4 974,92.9,7.1,,,100,European Union (28),2017
Slovenia,,648,,,648,,100,,,100,European Union (28),2017
Spain,4 821,9 620,,,14 441,33.4,66.6,,,100,European Union (28),2017
Sweden,3 078,1 848,,,4 926,62.5,37.5,,,100,European Union (28),2017
United Kingdom,5 997,1 494,,,7 491,80.1,19.9,,,100,European Union (28),2017
,,,,,,,,,,,,
Bosnia-Herzegovina,756,,,,756,100,,,,100,Other Europe,2017
Macedonia,,273,,,273,,100,,,100,Other Europe,2017
Montenegro (e),,120,,,120,,100,,,100,Other Europe,2017
Norway,,603,,,603,,100,,,100,Other Europe,2017
Serbia,1 477,,,,1 477,100,,,,100,Other Europe,2017
Switzerland (e),,1 450,,,1 450,,100,,,100,Other Europe,2017
Turkey,11 561,25 963,,,37 524,30.8,69.2,,,100,Other Europe,2017
,,,,,,,,,,,,
Azerbaijan (e),,180,,,180,,100,,,100,C.I.S.,2017
Belarus,,2 343,,,2 343,,100,,,100,C.I.S.,2017
Kazakhstan,4 581,60,,,4 641,98.7,1.3,,,100,C.I.S.,2017
Moldova,,469,,,469,,100,,,100,C.I.S.,2017
Russia (e),47 800,22 000,1 690,,71 490,66.9,30.8,2.4,,100,C.I.S.,2017
Ukraine,15 305,1 445,4 575,,21 325,71.8,6.8,21.5,,100,C.I.S.,2017
Uzbekistan,,654,,,654,,100,,,100,C.I.S.,2017
,,,,,,,,,,,,
Canada (e),7 271,5 937,,,13 208,55.1,44.9,,,100,North America,2017
Cuba,,221,,,221,,100,,,100,North America,2017
El Salvador,,96,,,96,,100,,,100,North America,2017
Guatemala,,294,,,294,,100,,,100,North America,2017
Mexico,4 721,15 234,,,19 955,23.7,76.3,,,100,North America,2017
United States,25 788,55 824,,,81 612,31.6,68.4,,,100,North America,2017
,,,,,,,,,,,,
Austria,6 177,708,,6 885,,89.7,10.3,,,100,European Union (28),2018
Belgium,5 400,2 580,,7 980,,67.7,32.3,,,100,European Union (28),2018
Bulgaria,,666,,666,,,100,,,100,European Union (28),2018
Croatia,,136,,136,,,100,,,100,European Union (28),2018
Czech Republic,4 694,245,,4 938,,95,5,,,100,European Union (28),2018
Germany,29 732,12 703,,42 435,,70.1,29.9,,,100,European Union (28),2018
Finland,2 800,1 350,,4 150,,67.5,32.5,,,100,European Union (28),2018
France,10 524,4 864,,15 387,,68.4,31.6,,,100,European Union (28),2018
Greece,,1 467,,1 467,,,100,,,100,European Union (28),2018
Hungary,1 659,329,,1 989,,83.4,16.6,,,100,European Union (28),2018
Italy,4 520,20 012,,24 532,,18.4,81.6,,,100,European Union (28),2018
Luxembourg,,2 228,,2 228,,,100,,,100,European Union (28),2018
Netherlands,6 813,,,6 813,,100,,,,100,European Union (28),2018
Poland,5 392,4 765,,10 157,,53.1,46.9,,,100,European Union (28),2018
Portugal (e),,2 215,,2 215,,,100,,,100,European Union (28),2018
Romania,2 175,1 375,,3 550,,61.3,38.7,,,100,European Union (28),2018
Slovak Republic,4 780,440,,5 220,,91.6,8.4,,,100,European Union (28),2018
Slovenia,,654,,654,,,100,,,100,European Union (28),2018
Spain,4 911,9 410,,14 320,,34.3,65.7,,,100,European Union (28),2018
Sweden,2 829,1 824,,4 654,,60.8,39.2,,,100,European Union (28),2018
United Kingdom,5 651,1 616,,7 268,,77.8,22.2,,,100,European Union (28),2018
,,,,,,,,,,,,
Bosnia-Herzegovina,695,,,695,,100,,,,100,Other Europe,2018
Macedonia,,266,,266,,,100,,,100,Other Europe,2018
Montenegro (e),,120,,120,,,100,,,100,Other Europe,2018
Norway,,575,,575,,,100,,,100,Other Europe,2018
Serbia,1 770,203,,1 973,,89.7,10.3,,,100,Other Europe,2018
Switzerland (e),,1 500,,1 500,,,100,,,100,Other Europe,2018
Turkey,11 513,25 799,,37 312,,30.9,69.1,,,100,Other Europe,2018
,,,,,,,,,,,,
Azerbaijan (e),,200,,200,,,100,,,100,North America,2018
Belarus,,2 470,,2 470,,,100,,,100,North America,2018
Kazakhstan,3 905,60,,3 965,,98.5,1.5,,,100,North America,2018
Moldova,,497,,497,,,100,,,100,North America,2018
Russia,47 950,22 050,1 700,71 700,,66.9,30.8,2.4,,100,North America,2018
Ukraine,14 714,1 571,4 826,21 111,,69.7,7.4,22.9,,100,North America,2018
Uzbekistan,,646,,646,,,100,,,100,North America,2018
C.I.S.,66 569,27 494,6 526,100 589,,66.2,27.3,6.5,,100,North America,2018
Canada (e),7 286,6 157,,13 443,,54.2,45.8,,,100,North America,2018
Cuba,,225,,225,,,100,,,100,North America,2018
El Salvador,,99,,99,,,100,,,100,North America,2018
Guatemala,,300,,300,,,100,,,100,North America,2018
Mexico,4 885,15 319,,20 204,,24.2,75.8,,,100,North America,2018
United States,27 704,58 903,,86 607,,32,68,,,100,North America,2018
,,,,,,,,,,,,
Argentina,2 319,2 843,,,5 162,44.9,55.1,,,100,South America,2018
Brazil,27 075,7 820,,511,35 407,76.5,22.1,,1.4,100,South America,2018
Chile,789,356,,,1 145,68.9,31.1,,,100,South America,2018
Colombia,220,1 000,,,1 220,18,82,,,100,South America,2018
Ecuador,,583,,,583,,100,,,100,South America,2018
Paraguay,25,,,,25,100,,,,100,South America,2018
Peru,,1 217,,,1 217,,100,,,100,South America,2018
Uruguay,,60,,,60,,100,,,100,South America,2018
Venezuela,,129,,,129,,100,,,100,South America,2018
,,,,,,,,,,,,
Algeria,400,1 600,,,2 000,20,80,,,100,Africa,2018
D.R. Congo (e),,30,,,30,,100,,,100,Africa,2018
Egypt,500,7 305,,,7 805,6.4,93.6,,,100,Africa,2018
Ghana (e),,25,,,25,,100,,,100,Africa,2018
Kenya (e),,20,,,20,,100,,,100,Africa,2018
Libya,,396,,,396,,100,,,100,Africa,2018
Mauritania (e),,,,5,5,,,,100,100,Africa,2018
Morocco,,600,,,600,,100,,,100,Africa,2018
Nigeria (e),,100,,,100,,100,,,100,Africa,2018
South Africa,3 899,2 428,,,6 327,61.6,38.4,,,100,Africa,2018
Tunisia,,50,,,50,,100,,,100,Africa,2018
Uganda (e),,30,,,30,,100,,,100,Africa,2018
,,,,,,,,,,,,
Iran,2 255,22 265,,,24 520,9.2,90.8,,,100,Middle East,2018
Israel (e),,300,,,300,,100,,,100,Middle East,2018
Jordan (e),,150,,,150,,100,,,100,Middle East,2018
Oman (e),,2 000,,,2 000,,100,,,100,Middle East,2018
Qatar,,2 575,,,2 575,,100,,,100,Middle East,2018
Saudi Arabia (1),,5 240,,,5 240,,100,,,100,Middle East,2018
Syria (e),,5,,,5,,100,,,100,Middle East,2018
United Arab Emirates,,3 247,,,3 247,,100,,,100,Middle East,2018
,,,,,,,,,,,,
Bangladesh (e),,100,,,100,,100,,,100,Asia,2018
China (e),820 200,108 000,,100,928 300,88.4,11.6,,0,100,Asia,2018
India,49 719,60 234,,,109 953,45.2,54.8,,,100,Asia,2018
Indonesia,3 009,3 174,,,6 183,48.7,51.3,,,100,Asia,2018
Japan,78 230,26 088,,,104 319,75,25,,,100,Asia,2018
South Korea,48 281,24 183,,,72 464,66.6,33.4,,,100,Asia,2018
Malaysia,850,3 250,,,4 100,20.7,79.3,,,100,Asia,2018
Mongolia (e),,50,,,50,,100,,,100,Asia,2018
Myanmar (e),,35,,,35,,100,,,100,Asia,2018
Pakistan,,4 719,,,4 719,,100,,,100,Asia,2018
Philippines,,1 475,,,1 475,,100,,,100,Asia,2018
Singapore,,618,,,618,,100,,,100,Asia,2018
Sri Lanka (e),,30,,,30,,100,,,100,Asia,2018
"Taiwan, China",14 063,9 177,,,23 240,60.5,39.5,,,100,Asia,2018
Thailand,,6 403,,,6 403,,100,,,100,Asia,2018
Viet Nam,8 200,6 000,,1 271,15 471,53,38.8,,8.2,100,Asia,2018
,,,,,,,,,,,,
Australia,4 228,1 461,,5 689,,74.3,25.7,,,100,Oceania,2018
New Zealand,652,,,652,,100,,,,100,Oceania,2018
